"TouristSpotId","Name","Address","SourceTitle","ImageUrl","SourcePageUrl","ImageStatus","ImageType","PageStatus","NameInPage","LocalityInPage"
"4494","조병수 가옥","인천광역시 영종구 용유로380번길 21","(인쇄용) 조병수 가옥 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7a71de55-f272-481b-991c-e51ef89cdac2","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=2980adcc-a788-41ae-b1c3-37d9dd2f2810","200","image/jpeg","200","True","False"
"5971","나절로미술관","전남광주통합특별시 진도군 임회면 진도대로 3886","나절로미술관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31923217-0793-46bc-bc9f-05975c2c0106","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d7f32600-478a-44f2-883e-6fbda10efb79","200","image/jpeg","200","True","True"
"6864","담양곤충박물관","전남광주통합특별시 담양군 담양읍 담양88로 428","담양곤충박물관 > 여행지 :대한민국 구석구석 담양곤충박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05a85f4d-ceab-4287-a417-3d48d5cebcfb","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b1d06bb9-5a76-4873-8b05-2a7778bec20f","200","image/jpeg","200","True","False"
"7540","시에그린한국시화박물관","전남광주통합특별시 진도군 임회면 죽림길 97","시에그린한국시화박물관> 여행지 :대한민국 구석구석 시에그린한국시화박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=15a47c00-26ae-4ca6-9f8d-413b1000f9ca","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b419742a-8796-4afd-a279-57c462804635","200","image/jpeg","200","True","True"
"9684","교과서박물관","세종특별자치시 연동면 청연로 492-14","(인쇄용) 한국 교과서 변천사를 한눈에 ‘연기 교과서박물관’ | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8f89194-fdea-429e-b972-4048984c03d8","https://korean.visitkorea.or.kr/detail/rem_detail_print.do?cotid=61d789a8-4905-4dba-9254-694a5df9e6ae","200","image/jpeg","200","True","False"
"11212","최호장군유지","전북특별자치도 군산시 개정면 원발산길 33-2","(인쇄용) 최호장군유지 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dfb0be2-8d3e-46b6-8d85-fd558c625582","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=f071f2b7-99d2-47fc-afa6-68ccb4f4527f","200","image/jpeg","200","True","False"
"11787","뒤웅박고을","세종특별자치시 전동면 배일길 90-43","뒤웅박고을> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d01ebfb-e606-458d-8c5b-6c7cc6513c5c","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=63b14a71-9cf2-4dcd-8b50-5970567750e0","200","image/jpeg","200","True","False"
"23969","자부마을","경상남도 통영시 욕지면 동항리","자부마을 (2026) - 경상남도 통영시 가볼만한곳 - 관광지랭킹","https://tong.visitkorea.or.kr/cms/resource/42/2794042_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=55794","0","","200","False","False"
"24822","모명재","대구광역시 수성구 달구벌대로525길 14-23 (만촌동)","(인쇄용) 모명재 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=123df462-75f0-44da-a07b-d21d47beb6a1","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1a472527-1790-4710-8b7a-8a6eef763a0f","200","image/jpeg","200","True","False"
"24872","홍주성역사관","충청남도 홍성군 홍성읍 아문길 20","홍주성역사관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b94f675-637f-4459-9274-9c31bc3c276c","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=32189daa-2a7a-4294-bf31-f2b023bba68e","200","image/jpeg","200","True","False"
"25029","홍주천년기념탑","충청남도 홍성군 홍성읍 옥암리","홍주천년기념탑 (2026) - 충청남도 홍성군 가볼만한곳 - 관광지랭킹","https://tong.visitkorea.or.kr/cms/resource/12/3079412_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=88240","0","","200","False","False"
"26487","상봉서원","경상남도 함안군 칠원읍 유원1길 32","상봉서원> 여행지 :대한민국 구석구석 상봉서원> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=765d27d6-30a3-4e85-aa86-c8684582fe87","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=065b2fe3-49ab-4262-b9f5-5fe43f9e1e84","200","image/jpeg","200","True","False"
