"TouristSpotId","TourApiContentId","Name","Address","Status","Provider","ProviderItemName","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Attribution","ImageDescription","HttpStatus","ContentType","VerifiedAt","Notes"
"399","130917","동신대학교 대정문화박물관","전남광주통합특별시 나주시 동신대길 67 (대호동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"796","2638436","영종역사관","인천광역시 영종구 구읍로 63","APPROVED","인천광역시 영종구청","영종역사관","https://www.yeongjong.go.kr/other/attach/process.file.do?TP=dn&out=inline&w=1000&sn=30946&key=3B733D3D2EADEDA","https://www.yeongjong.go.kr/tour/regional_tour/yeongjong/view.do?trspt_sn=217","KOGL_TYPE_1","https://www.kogl.or.kr/info/licenseType1.do","출처: 인천광역시 영종구청 (공공누리 제1유형)","영종역사관 관광지 이미지","200","image/jpeg","2026-09-15","장소명·주소·페이지 라이선스·이미지 응답 확인. 동적 URL이므로 장기 핫링크 금지"
"1969","1613706","관덕정 순교기념관","대구광역시 중구 관덕정길 11","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"2131","2369504","박경리 기념관","경상남도 통영시 산양읍 산양중앙로 173","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"2561","127204","장성 입암산성","전남광주통합특별시 장성군 북하면 신성리 산 20","APPROVED","국가유산청 국가유산포털","장성 입암산성","https://www.khs.go.kr/unisearch/images/history_site/1627205.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0003840000000&ccbaCtcd=36&ccbaKdcd=13&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","장성 입암산성 성벽","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '장성 입암산성'; imageNuri=A"
"2833","250419","광심정","경상남도 함안군 칠북면 봉촌2길 277","APPROVED","국가유산청 국가유산포털","함안 광심정","https://www.khs.go.kr/unisearch/images/cultural_material/1664355.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0002170000000&ccbaCtcd=38&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","광심정","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 90; 검색어 '광심정'; imageNuri=A"
"3176","126543","양주 온릉(단경왕후) [유네스코 세계유산]","경기도 양주시 장흥면 호국로 255-41","APPROVED","국가유산청 국가유산포털","양주 온릉","https://www.khs.go.kr/unisearch/images/history_site/2020081410552200.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0002100000000&ccbaCtcd=31&ccbaKdcd=13&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","양주 온릉_능침","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '양주 온릉'; imageNuri=A"
"4494","1619375","조병수 가옥","인천광역시 영종구 용유로380번길 21","CONDITIONAL","국가유산청 국가유산포털","남북동 조병수 가옥","https://www.khs.go.kr/unisearch/images/cultural_material/1659563.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000160000000&ccbaCtcd=23&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_D","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","조병수가옥전경","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 90; 검색어 '조병수 가옥'; imageNuri=D"
"4501","1622343","화담사","전남광주통합특별시 서구 화운로156번길 17-8 (화정동)","APPROVED","국가유산청 국가유산포털","화담사","https://www.khs.go.kr/unisearch/images/monument/1645761.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000180000000&ccbaCtcd=52&ccbaKdcd=23&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","화담사","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '화담사'; imageNuri=A"
"4573","127661","화순향교","전남광주통합특별시 화순군 화순읍 교동2길 14","APPROVED","국가유산청 국가유산포털","화순향교대성전","https://www.khs.go.kr/unisearch/images/tangible_cult_prop/1639905.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000630000000&ccbaCtcd=36&ccbaKdcd=21&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","화순향교(대성전)","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 90; 검색어 '화순향교'; imageNuri=A"
"4733","742537","무진고성지","전남광주통합특별시 북구 무진성길 190","APPROVED","국가유산청 국가유산포털","무진고성지","https://www.khs.go.kr/unisearch/images/monument/1645754.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000140000000&ccbaCtcd=24&ccbaKdcd=23&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","무진고성지","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '무진고성지'; imageNuri=A"
"4827","1957440","옥계서원(순천)","전남광주통합특별시 순천시 명말2길 20","APPROVED","국가유산청 국가유산포털","옥계서원","https://www.khs.go.kr/unisearch/images/cultural_material/2021111109155000.JPG","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000050000000&ccbaCtcd=36&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","옥계서원_공적비1 (촬영년도 : 2015년)","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '옥계서원'; imageNuri=A"
"5568","127351","능주향교","전남광주통합특별시 화순군 능주면 교촌길 36 ","APPROVED","국가유산청 국가유산포털","능주향교","https://www.khs.go.kr/unisearch/images/tangible_cult_prop/1639986.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0001240000000&ccbaCtcd=36&ccbaKdcd=21&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","능주향교(대성전)","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '능주향교'; imageNuri=A"
"5594","127756","하의도 토지항쟁비","전남광주통합특별시 신안군 하의면 하의로 115","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"5736","129777","한국대나무박물관","전남광주통합특별시 담양군 담양읍 죽향문화로 35","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"5744","130066","남농기념관","전남광주통합특별시 목포시 남농로 119 (용해동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"5971","589639","나절로미술관","전남광주통합특별시 진도군 임회면 진도대로 3886","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
