"TouristSpotId","TourApiContentId","Name","Address","Status","ImageUrl","SourcePageUrl","SourceTitle","ProviderHost","HttpStatus","ContentType","VerifiedAt","Notes"
"399","130917","동신대학교 대정문화박물관","전남광주통합특별시 나주시 동신대길 67 (대호동)","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/47/217147_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=11089","동신대학교 대정문화박물관 (2026) - 전남광주통합특별시 나주시 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"1969","1613706","관덕정 순교기념관","대구광역시 중구 관덕정길 11","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"2131","2369504","박경리 기념관","경상남도 통영시 산양읍 산양중앙로 173","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"5594","127756","하의도 토지항쟁비","전남광주통합특별시 신안군 하의면 하의로 115","NO_WEB_CANDIDATE","","","","","","","2026-09-15","원문 제목이 비어 있어 장소 일치를 검증할 수 없으므로 제외"
"5736","129777","한국대나무박물관","전남광주통합특별시 담양군 담양읍 죽향문화로 35","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/19/1241319_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=10966","한국대나무박물관 (2026) - 전남광주통합특별시 담양군 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"5744","130066","남농기념관","전남광주통합특별시 목포시 남농로 119 (용해동)","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/34/1197034_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=10789","남농기념관 (2026) - 전남광주통합특별시 목포시 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"5971","589639","나절로미술관","전남광주통합특별시 진도군 임회면 진도대로 3886","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"6456","2613176","현부자네 집","전남광주통합특별시 보성군 벌교읍 홍암로 89-28","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"6864","2784213","담양곤충박물관","전남광주통합특별시 담양군 담양읍 담양88로 428","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"7540","3076980","시에그린한국시화박물관","전남광주통합특별시 진도군 임회면 죽림길 97","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
